word	count
enron	216
subject	129
please	109
thanks	72
message	70
original	58
image	55
monday	49
sally	47
process	44
meeting	42
forwarded	42
email	41
enronxgate	37
questions	36
group	34
updated	33
financial	32
power	32
confirmations	31
december	30
storage	29
houston	28
business	28
think	27
market	27
review	26
system	26
fantasy	26
attached	26
information	25
description	24
america	23
tuesday	23
deals	23
going	22
operations	22
global	22
calgary	22
following	22
